"Date_Sampled","Year","Irr_season","Depth_1","Field_ID","Soil_pH","Soluble_Salts","OM_pct","NO3_D1_ppm","Bicarb_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","treatment"
2010-07-13,2010,"During","25-36","F2 ",7.1,1.9,2.9,12.6,41,128,604,1490,87,152,2.5,35,7.9,2.4,1.1,10.4,"Sodium"
2010-07-13,2010,"During","37-48","F2 ",7.4,0.8,0.8,4.2,5,33,125,1270,342,461,0.2,11.1,3,0.8,0.6,11.5,"Sodium"
2013-06-28,2013,"Before","0-12","F2 ",7.9,0.42,1.1,5.3,15,4,333,1120,46,121,0.4,24.1,9.3,2.8,,7.4,"Potassium"
2014-06-23,2014,"Before","0-12","F2 ",7.1,0.36,1.3,6,26,3,735,940,60,45,0.9,50.4,5.3,3.9,,7.3,"Potassium"
2000-04-14,2000,"Before","0-12","F3",7.1,0.52,2.9,6.4,15,12,345,780,224,154,2.3,161,44.5,3.5,1,7.3,"Sodium"
2000-04-14,2000,"Before","13-24","F3",7.9,0.6,0.7,4.8,6,15,95,1140,322,215,0.1,42.4,32.5,2,0.6,9.6,"Sodium"
2000-04-14,2000,"Before","25-36","F3",7.9,0.66,0.3,0.6,6,17,52,1240,429,223,0.1,42.3,31.4,1.8,0.3,10.9,"Sodium"
2001-08-03,2001,"During","0-12","F3",7.8,0.6,3.3,2.1,11,17,457,1140,263,492,2.1,72.9,44.5,3.5,0.8,11.2,"Sodium"
2001-08-03,2001,"During","13-24","F3",8.1,0.96,1.7,3.8,5,25,281,1330,301,662,0.8,59.7,42.8,3.2,1.1,12.8,"Sodium"
2001-08-03,2001,"During","25-36","F3",8.4,0.74,0.9,2.4,4,24,172,1410,343,659,0.4,43.3,39.2,2.7,0.8,13.2,"Sodium"
2001-08-03,2001,"During","37-48","F3",8.2,0.72,0.4,0.8,3,14,117,1550,445,680,0.1,35.6,31.4,1.9,0.4,14.7,"Sodium"
2001-06-21,2001,"Before","0-12","F3",7.2,0.9,4,39,16,17,433,1310,323,463,3.4,74.7,45.8,3.4,0.9,12.4,"Sodium"
2001-06-21,2001,"Before","13-24","F3",8.4,0.82,0.8,7.1,2,12,140,1650,447,907,0.2,29.1,23.7,2.3,0.8,16.3,"Sodium"
2001-06-21,2001,"Before","25-36","F3",8.3,0.48,0.6,8.3,3,14,78,1810,547,855,0.1,28.3,14.8,2.3,0.4,17.5,"Sodium"
2001-06-21,2001,"Before","37-48","F3",7.7,0.4,0.4,3.4,1,7,110,1800,588,385,0.1,30.9,23.9,2.2,0.6,15.9,"Sodium"
2001-10-18,2001,"During","0-12","F3",7.9,0.72,2.9,5.1,16,16,474,1120,282,344,2.3,48.5,18,2.7,1,10.7,"Sodium"
